cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
59183447000196,L&C COMERCIO E SERVICOS DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO LTDA,DESVELLO SOLUCOES,MATRIZ,ATIVA,8020001,2512800;4330402;4742300;4744001;4744003;4744005;4744099;4751201;4752100;4753900;4754703;4757100;4759899;4789005;8129000,BRASILIA,DF,"80000,00",03,PALAVRA_CHAVE_GR
59385874000157,TRACKER + RASTREAMENTO VEICULAR LTDA,TRACKER + RASTREAMENTO,MATRIZ,ATIVA,4520007,4530703;4744001;6209100;7719599;7739099;8020001;8220200;8230001;9511800,BRASILIA,DF,"5000,00",01,PALAVRA_CHAVE_GR
59523828000177,TEC TRAZ RASTREAMENTO LTDA,TEC TRAZ,MATRIZ,ATIVA,8020001,4530703;4652400;7739099,SALVADOR,BA,"30000,00",01,PALAVRA_CHAVE_GR
60869313000102,RGT SERVICOS DE APOIO PORTARIA E MONITORAMENTO LTDA,RGT SERVICOS,MATRIZ,ATIVA,8020001,8111700;8211300;8219999,JOAO PESSOA,PB,"10000,00",01,PALAVRA_CHAVE_GR
61341487000160,SERGYSAT RASTREAMENTO LTDA,SERGISAT RASTREAMENTO,MATRIZ,ATIVA,8020001,3321000;4520001;4520003;4520007;4530701;4789099;4923002;6201501;6202300;6311900;6622300;7319002;7729202;7729299;7820500;9511800,ARACAJU,SE,"50000,00",01,PALAVRA_CHAVE_GR
29147575000385,SAAD BOMFIM SERVICO DE TRANSPORTE E SEGURANCA LTDA,GNE EXECUTIVE,FILIAL,ATIVA,7490104,4322301;4520003;4520006;4923002;5229001;5229002;5320202;7711000;8011101;8020001;8111700;9529102,VITORIA,ES,"1000000,00",03,CNAE_CARGA_TRANSPORTE
61562809000100,JC - RASTREADORES LTDA,JC RASTREADORES,MATRIZ,ATIVA,4520007,4520003;4530703;4530704;4757100,BRASILIA,DF,"60000,00",01,PALAVRA_CHAVE_GR
61592377000171,JK RASTREAMENTO LTDA,JK RASTREAMENTO,MATRIZ,ATIVA,8020001,6311900;6319400;8211300;8299799,TERESINA,PI,"30000,00",01,PALAVRA_CHAVE_GR
01945637001608,REAL MAIA TRANSPORTES TERRESTRES LTDA,REAL MAIA,FILIAL,ATIVA,4922102,4511106;4520002;4520003;4921301;4922101;4922103;4923001;4923002;4924800;4929901;4929902;4930202;7711000;7911200;8020001;8219999,NATAL,RN,"15000000,00",03,CNAE_CARGA_TRANSPORTE
01945637001780,REAL MAIA TRANSPORTES TERRESTRES LTDA,REAL MAIA,FILIAL,ATIVA,4922102,4511106;4520002;4520003;4921301;4922101;4922103;4923001;4923002;4924800;4929901;4929902;4930202;7711000;7911200;8020001;8219999,ARACAJU,SE,"15000000,00",03,CNAE_CARGA_TRANSPORTE
