cnpjBasico,razaoSocial,nomeFantasia,cnaePrincipal,porte,capitalSocial,qtdEstabelecimentosAtivos,municipios,confianca
21686950,LCX RASTREAMENTO E TELEMETRIA LTDA,LCX RASTREAMENTO E TELEMETRIA,8020001,01,"60000,00",5,IMPERATRIZ/MA;PACO DO LUMIAR/MA;SAO LUIS/MA;TIMON/MA,ALTO
11352247,SATTRACK RASTREAMENTO E LOGISTICA LTDA,SATTRACK,8020001,03,"500000,00",5,CASCAVEL/PR;CURITIBA/PR;LONDRINA/PR;MARINGA/PR;PONTA GROSSA/PR,ALTO
63910386,BLOCK RASTREAMENTO LTDA,BLOCK RASTREAMENTO 01,8020001,01,"100000,00",4,FORTALEZA/CE,ALTO
04776058,SIGA SAT RASTREAMENTO DE VEICULOS VIA SATELITE LTDA,SIGA SAT,8020001,01,"100000,00",4,BRASILIA/DF;FORTALEZA/CE;GOIANIA/GO;JOAO PESSOA/PB,ALTO
02281679,ARM CONSULTORIA EM SEGURANCA LTDA,PREVINE ENGENHARIA & GESTAO DE RISCOS,7119704,05,"500000,00",3,CAMACARI/BA;MACEIO/AL;MARECHAL DEODORO/AL,ALTO
05963540,RASTER RASTREAMENTO LTDA,,8020001,05,"3500000,00",3,AMERICANA/SP;CONCORDIA/SC;SAO PAULO/SP,ALTO
43304066,THIAGO BEZERRA BARBOSA MAIA,T&M RASTREADOR E ACESSORIOS,8020001,03,"50000,00",3,JOAO PESSOA/PB;SANTA RITA/PB,ALTO
36837579,SOS MONITORAMENTO E RASTREAMENTO RN LTDA,SOS MONITORAMENTO E RASTREAMENTO,8020001,01,"50000,00",3,MOSSORO/RN;NATAL/RN,ALTO
48191657,N N LIMA PIMENTEL MAO LTDA,RAVENA RASTREAMENTO MAO,8020001,03,"80000,00",3,MACAPA/AP;MANAUS/AM;SANTAREM/PA,ALTO
45737091,R. TRACK RASTREAMENTO VEICULAR LTDA,R. TRACK RASTREAMENTO VEICULAR,8020001,01,"50000,00",3,FRANCISCO BELTRAO/PR;PATO BRANCO/PR;SANTO ANTONIO DO SUDOESTE/PR,ALTO
45343562,DETECTRACK RASTREAMENTO E MONITORAMENTO VEICULAR LTDA,DETECTRACK,8020001,01,"20000,00",3,BARREIRINHAS/MA;PACO DO LUMIAR/MA;SAO LUIS/MA,ALTO
15260761,GPS SERVICOS DE GESTAO DE RISCOS LOGISTICOS LTDA.,,6621501,05,"100000,00",3,OSASCO/SP;SAO PAULO/SP,ALTO
