ibgeCode,municipio,uf,tem_aeroporto,distancia_aeroporto_km,aeroporto_comercial_mais_proximo,tipo,fonte
1200013,Acrelândia,AC,False,103.95,,,
1200054,Assis Brasil,AC,False,252.01,,,
1200104,Brasiléia,AC,False,173.54,,,
1200138,Bujari,AC,False,41.86,,,
1200179,Capixaba,AC,False,67.58,,,
1200203,Cruzeiro do Sul,AC,True,41.71,,,
1200252,Epitaciolândia,AC,False,138.1,,,
1200302,Feijó,AC,False,85.69,,,
1200328,Jordão,AC,False,172.82,,,
1200344,Manoel Urbano,AC,False,170.22,,,
1200351,Marechal Thaumaturgo,AC,False,167.95,,,
1200336,Mâncio Lima,AC,False,75.37,,,
1200385,Plácido de Castro,AC,False,74.24,,,
1200807,Porto Acre,AC,False,34.12,,,
1200393,Porto Walter,AC,False,99.24,,,
1200401,Rio Branco,AC,True,56.28,,,
1200427,Rodrigues Alves,AC,False,57.53,,,
1200435,Santa Rosa do Purus,AC,False,145.99,,,
1200500,Sena Madureira,AC,False,162.97,,,
1200450,Senador Guiomard,AC,False,53.19,,,
1200609,Tarauacá,AC,True,73.7,,,
1200708,Xapuri,AC,False,102.86,,,
2700201,Anadia,AL,False,36.97,,,
2700300,Arapiraca,AL,True,3.24,,,
2700409,Atalaia,AL,False,30.95,,,
2700508,Barra de Santo Antônio,AL,False,29.1,,,
2700607,Barra de São Miguel,AL,False,37.65,,,
2700706,Batalha,AL,False,52.33,,,
2700904,Belo Monte,AL,False,61.5,,,
2700805,Belém,AL,False,28.68,,,
2701001,Boca da Mata,AL,False,46.19,,,
2701100,Branquinha,AL,False,41.77,,,
2701209,Cacimbinhas,AL,False,48.95,,,
2701308,Cajueiro,AL,False,42.49,,,
2701357,Campestre,AL,False,74.1,,,
2701407,Campo Alegre,AL,False,38.24,,,
2701506,Campo Grande,AL,False,24.79,,,
2701605,Canapi,AL,False,84.63,,,
2701704,Capela,AL,False,38.35,,,
2701803,Carneiros,AL,False,88.04,,,
2701902,Chã Preta,AL,False,50.11,,,
2702009,Coité do Nóia,AL,False,16.97,,,
2702108,Colônia Leopoldina,AL,False,63.07,,,
2702207,Coqueiro Seco,AL,False,14.76,,,
2702306,Coruripe,AL,False,55.51,,,
2702355,Craíbas,AL,False,23.9,,,
2702405,Delmiro Gouveia,AL,False,21.71,,,
2702504,Dois Riachos,AL,False,65.08,,,
2702553,Estrela de Alagoas,AL,False,45.6,,,
2702603,Feira Grande,AL,False,13.15,,,
2702702,Feliz Deserto,AL,False,65.04,,,
2702801,Flexeiras,AL,False,29.47,,,
2702900,Girau do Ponciano,AL,False,24.04,,,
2703007,Ibateguara,AL,False,62.35,,,
2703106,Igaci,AL,False,26.7,,,
2703205,Igreja Nova,AL,False,40.37,,,
2703304,Inhapi,AL,False,62.6,,,
2703403,Jacaré dos Homens,AL,False,66.96,,,
2703502,Jacuípe,AL,False,78.99,,,
2703601,Japaratinga,AL,False,72.12,,,
2703700,Jaramataia,AL,False,42.5,,,
2703759,Jequiá da Praia,AL,False,56.62,,,
2703809,Joaquim Gomes,AL,False,47.75,,,
2703908,Jundiá,AL,False,67.23,,,
2704005,Junqueiro,AL,False,22.65,,,
2704104,Lagoa da Canoa,AL,False,11.89,,,
2704203,Limoeiro de Anadia,AL,False,18.28,,,
2704302,Maceió,AL,True,9.35,,,
2704401,Major Isidoro,AL,False,49.34,,,
2704906,Mar Vermelho,AL,False,41.86,,,
2704500,Maragogi,AL,False,84.79,,,
2704609,Maravilha,AL,False,95.68,,,
2704708,Marechal Deodoro,AL,False,26.06,,,
2704807,Maribondo,AL,False,43.9,,,
2705002,Mata Grande,AL,False,66.36,,,
2705101,Matriz de Camaragibe,AL,False,50.41,,,
2705200,Messias,AL,False,18.79,,,
2705309,Minador do Negrão,AL,False,55.22,,,
2705408,Monteirópolis,AL,False,75.62,,,
2705507,Murici,AL,False,28.49,,,
2705606,Novo Lino,AL,False,63.09,,,
2705903,Olho d'Água Grande,AL,False,35.8,,,
2705705,Olho d'Água das Flores,AL,False,74.76,,,
2705804,Olho d'Água do Casado,AL,False,47.74,,,
2706000,Olivença,AL,False,67.53,,,
2706109,Ouro Branco,AL,False,85.59,,,
2706208,Palestina,AL,False,74.37,,,
2706307,Palmeira dos Índios,AL,False,39.82,,,
2706422,Pariconha,AL,False,28.37,,,
2706448,Paripueira,AL,False,23.43,,,
2706505,Passo de Camaragibe,AL,False,42.95,,,
2706604,Paulo Jacinto,AL,False,50.46,,,
2706703,Penedo,AL,False,53.34,,,
2706802,Piaçabuçu,AL,False,72.52,,,
2706901,Pilar,AL,False,25.93,,,
2707008,Pindoba,AL,False,50.38,,,
2707107,Piranhas,AL,False,59.06,,,
2707305,Porto Calvo,AL,False,66.96,,,
2707503,Porto Real do Colégio,AL,False,40.49,,,
2707404,Porto de Pedras,AL,False,58.86,,,
2707206,Poço das Trincheiras,AL,False,92.84,,,
2706406,Pão de Açúcar,AL,False,89.56,,,
2707602,Quebrangulo,AL,False,52.25,,,
2707701,Rio Largo,AL,False,8.58,,,
2707800,Roteiro,AL,False,44.88,,,
2707909,Santa Luzia do Norte,AL,False,11.9,,,
2708006,Santana do Ipanema,AL,False,78.86,,,
2708105,Santana do Mundaú,AL,False,44.75,,,
2708907,Satuba,AL,False,9.54,,,
2708956,Senador Rui Palmeira,AL,False,81.33,,,
2708204,São Brás,AL,False,44.85,,,
2708303,São José da Laje,AL,False,50.58,,,
2708402,São José da Tapera,AL,False,83.96,,,
2708501,São Luís do Quitunde,AL,False,33.7,,,
2708600,São Miguel dos Campos,AL,False,44.06,,,
2708709,São Miguel dos Milagres,AL,False,52.44,,,
2708808,São Sebastião,AL,False,22.66,,,
2709004,Tanque d'Arca,AL,False,33.19,,,
2709103,Taquarana,AL,False,22.41,,,
2709152,Teotônio Vilela,AL,False,35.23,,,
2709202,Traipu,AL,False,39.49,,,
2709301,União dos Palmares,AL,False,49.7,,,
2709400,Viçosa,AL,False,54.8,,,
2700102,Água Branca,AL,False,40.9,,,
1300029,Alvarães,AM,False,76.1,,,
1300060,Amaturá,AM,False,70.59,,,
1300086,Anamã,AM,False,171.96,,,
1300102,Anori,AM,False,118.02,,,
1300144,Apuí,AM,True,79.18,,,
1300201,Atalaia do Norte,AM,False,230.65,,,
1300300,Autazes,AM,False,69.58,,,
1300409,Barcelos,AM,True,80.96,,,
