cnpj,razaoSocial,nomeFantasia,matrizFilial,situacaoCadastral,cnaePrincipal,cnaeSecundarios,municipio,uf,capitalSocial,porte,motivoMatch
59183447000196,L&C COMERCIO E SERVICOS DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO LTDA,DESVELLO SOLUCOES,MATRIZ,ATIVA,8020001,2512800;4330402;4742300;4744001;4744003;4744005;4744099;4751201;4752100;4753900;4754703;4757100;4759899;4789005;8129000,BRASILIA,DF,"80000,00",03,PALAVRA_CHAVE_GR
59344999000139,M G V DA SILVA,FACIL RASTREAMENTO,MATRIZ,ATIVA,8020001,4520007,IGARAPE-ACU,PA,"30000,00",01,PALAVRA_CHAVE_GR
59351140000157,METATRON RASTREAMENTO LTDA,METATRON RASTREAMENTO,MATRIZ,ATIVA,8020001,,NOVA SOURE,BA,"1000,00",01,PALAVRA_CHAVE_GR
59375603000110,SOLAR ENGENHARIA E RASTREAMENTO VEICULAR LTDA,,MATRIZ,ATIVA,8020001,4520007;4742300;4789099;7112000;7490104,DIVINOPOLIS,MG,"10000,00",01,PALAVRA_CHAVE_GR
59385874000157,TRACKER + RASTREAMENTO VEICULAR LTDA,TRACKER + RASTREAMENTO,MATRIZ,ATIVA,4520007,4530703;4744001;6209100;7719599;7739099;8020001;8220200;8230001;9511800,BRASILIA,DF,"5000,00",01,PALAVRA_CHAVE_GR
59414468000175,JRJ MONITORAMENTO MANUTENCOES E SEGURANCA LTDA,RASTROSAT,MATRIZ,ATIVA,8020001,4520007;4752100;4757100;8299799,SAO PAULO,SP,"100,00",03,PALAVRA_CHAVE_GR
59477211000162,TKS MONITORAMENTO E RASTREAMENTO LTDA,,MATRIZ,ATIVA,8020001,8020002,SAO PAULO,SP,"100000,00",01,PALAVRA_CHAVE_GR
59523828000177,TEC TRAZ RASTREAMENTO LTDA,TEC TRAZ,MATRIZ,ATIVA,8020001,4530703;4652400;7739099,SALVADOR,BA,"30000,00",01,PALAVRA_CHAVE_GR
59526581000142,SAURUK MONITORAMENTO LTDA,,MATRIZ,ATIVA,8020001,4321500;4751201;4759899;9511800,TERRA ROXA,PR,"30000,00",01,PALAVRA_CHAVE_GR
59561635000100,"SECWAY CONSULTORIA, ASSESSORIA E SERVICOS LOGISTICOS LTDA",SECWAY CONSULTORIA E ASSESSORIA,MATRIZ,ATIVA,8020001,4520007;4619200;4930202;8211300,ITAJAI,SC,"10000,00",01,CNAE_CARGA_TRANSPORTE
59701551000125,ZATTO COMPANY LTDA,ZATTO COMPANY RASTREADORES,MATRIZ,ATIVA,4520007,3329599,PIRACICABA,SP,"15000,00",03,PALAVRA_CHAVE_GR
59737408000193,TITANIUM MONITORAMENTO LTDA,TITANIUM MONITORAMENTO,MATRIZ,ATIVA,8111700,4321500;4923002;7711000;7729202;7733100;7739003;8020001;8121400;9511800,PARAUAPEBAS,PA,"1000000,00",03,PALAVRA_CHAVE_GR
59843782000173,DECOLAR PORTARIA VIRTUAL E MONITORAMENTO LTDA,14 BIS PORTARIA E LIMPEZA,MATRIZ,ATIVA,8020001,4753900;8111700;8121400;8211300,PRAIA GRANDE,SP,"100000,00",03,PALAVRA_CHAVE_GR
51984578000160,RASTREK VM RASTREAMENTO LTDA,RASTREK VM,MATRIZ,ATIVA,8020001,4530705;4541206,PINHEIRO,MA,"20000,00",01,PALAVRA_CHAVE_GR
59901381000122,ON MOVE TRANSPORTES E SERVICOS LTDA,ON MOVE ASSIST,MATRIZ,ATIVA,5229002,6319400;7311400;7319002;7319003;7319004;7490104;7711000;7719599;7732201;8020001;8211300;8219999;8220200;8230001;8299799;8599604,GOIANIA,GO,"10000,00",01,CNAE_CARGA_TRANSPORTE
60018627000100,FLYTRACKER RASTREAMENTO LTDA,,MATRIZ,ATIVA,8020002,6204000;7739099;8020001;8220200;8599603;9529102,SAO PAULO,SP,"10000,00",03,PALAVRA_CHAVE_GR
60143412000102,ONIX SERVICOS DE MONITORAMENTO LTDA,,MATRIZ,ATIVA,8020001,4321500;4751201;4752100;6120501;6120502;6120599;6130200;6190699;6209100;7739099;8020002,SAO PAULO,SP,"200000,00",03,PALAVRA_CHAVE_GR
60543862000192,AWP SERVICOS DE RISCOS E TECNOLOGIA LTDA,AWP SERVICOS DE RISCOS E TECNOLOGIA,MATRIZ,ATIVA,6204000,6201501;6201502;6202300;6311900;6319400;7020400,SAO PAULO,SP,"1000,00",01,PALAVRA_CHAVE_GR
60727802000120,3F RASTREAMENTO VEICULAR LTDA,3F RASTREAMENTO VEICULAR,MATRIZ,ATIVA,8020001,4520007,LUZIANIA,GO,"1000,00",01,PALAVRA_CHAVE_GR
60778141000161,POKA PENA LOGISTICA E SOLUCOES DE TRANSPORTE INTELIGENTE LTDA,POKA PENA LOGISTICA INTELIGENTE,MATRIZ,ATIVA,5250804,3811400;4399104;4930201;4930202;5250803;5320201;5320202;6202300;7020400;7711000;8020001;8299702,SAO JOSE DOS PINHAIS,PR,"140000,00",01,CNAE_CARGA_TRANSPORTE
60787995000104,"GOTT SEGURANCA, CONSERVACAO & APOIO LOGISTICO LTDA",GOTT SEGURANCA & APOIO LOGISTICO LTDA,MATRIZ,ATIVA,8020001,8020002;8111700;8121400;8130300;8299799,VILA VELHA,ES,"150000,00",03,CNAE_CARGA_TRANSPORTE
60805460000119,AUTOVEL RASTREAMENTO E ASSISTENCIA 24H LTDA,AUTOVEL RASTREAMENTO E ASSISTENCIA 24H,MATRIZ,ATIVA,8020001,4520007,FORTALEZA,CE,"25000,00",01,PALAVRA_CHAVE_GR
60808316000136,MASTER SEGURANCA E MONITORAMENTO LTDA,MASTER SEGURANCA,MATRIZ,ATIVA,8020001,9512600,UBERLANDIA,MG,"120000,00",01,PALAVRA_CHAVE_GR
49628194000163,HNT GANTZIAS TERRAPLENAGEM E LOGISTICA LTDA,HNT GANTZIAS EMPREENDIMENTOS,MATRIZ,ATIVA,4313400,0810006;0810007;0990401;3600602;3701100;3811400;3812200;3821100;3822000;3839401;4120400;4211101;4213800;4311801;4319300;4330404;4399105;4399199;4679604;4744099;4789099;4930201;4930202;4930203;5212500;7711000;7719599;7732201;8020001;8111700;8121400;8129000;8130300,PACO DO LUMIAR,MA,"200000,00",01,CNAE_CARGA_TRANSPORTE
60869313000102,RGT SERVICOS DE APOIO PORTARIA E MONITORAMENTO LTDA,RGT SERVICOS,MATRIZ,ATIVA,8020001,8111700;8211300;8219999,JOAO PESSOA,PB,"10000,00",01,PALAVRA_CHAVE_GR
60890400000141,YESHUA RASTREAMENTO LTDA,YESHUA RASTREAMENTO,MATRIZ,ATIVA,8020001,,RECIFE,PE,"10000,00",01,PALAVRA_CHAVE_GR
60977400000183,WORKTRACK RASTREAMENTO E ASSISTENCIA LTDA,WORKTRACK RASTREAMENTOS E ASSISTENCIA 24 HORAS,MATRIZ,ATIVA,8020001,,PETROLINA,PE,"15000,00",01,PALAVRA_CHAVE_GR
58153377000160,CAM 360 MONITORAMENTO LTDA,CAM 360 MONITORAMENTO,MATRIZ,ATIVA,8020001,4665600;6209100;7739099;8111700,BRACO DO NORTE,SC,"10000,00",01,PALAVRA_CHAVE_GR
48429414000167,AUTO TRACKER RASTREAMENTO VEICULAR LTDA,AUTO TRACKER RASTREAMENTO VEICULAR LTDA,MATRIZ,ATIVA,8020001,4530703,PORTO ALEGRE,RS,"15000,00",01,PALAVRA_CHAVE_GR
61299044000159,MRE TECNOLOGIAS E GESTAO DE MONITORAMENTO LTDA,MRE TECNOLOGIAS E GESTAO DE MONITORAMENTO,MATRIZ,ATIVA,4742300,3313999;3321000;4321500;6190699;8020001;8020002,LAVRAS,MG,"20000,00",01,PALAVRA_CHAVE_GR
61341487000160,SERGYSAT RASTREAMENTO LTDA,SERGISAT RASTREAMENTO,MATRIZ,ATIVA,8020001,3321000;4520001;4520003;4520007;4530701;4789099;4923002;6201501;6202300;6311900;6622300;7319002;7729202;7729299;7820500;9511800,ARACAJU,SE,"50000,00",01,PALAVRA_CHAVE_GR
61363556000137,IRASTREIA SERVICOS VEICULARES LTDA,IRASTREIA SERVICOS VEICULARES,MATRIZ,ATIVA,4520007,4321500;4530704;8020001,SANTO ANDRE,SP,"10000,00",01,CNAE_CARGA_TRANSPORTE
61401304000155,ESTRADASAT RASTREAMENTO E MONITORAMENTO VEICULAR LTDA,ESTRADASAT RASTREAMENTO E MONITORAMENTO VEICULAR,MATRIZ,ATIVA,8299799,4520004;4752100;7739099;8219999;8291100;8599604,XANXERE,SC,"30000,00",01,PALAVRA_CHAVE_GR
61420973000174,NN MONITORAMENTO LTDA,NN MONITORAMENTO LTDA,MATRIZ,ATIVA,8020001,5229002;8030700;9529102,SAO PAULO,SP,"1000,00",01,PALAVRA_CHAVE_GR
29147575000385,SAAD BOMFIM SERVICO DE TRANSPORTE E SEGURANCA LTDA,GNE EXECUTIVE,FILIAL,ATIVA,7490104,4322301;4520003;4520006;4923002;5229001;5229002;5320202;7711000;8011101;8020001;8111700;9529102,VITORIA,ES,"1000000,00",03,CNAE_CARGA_TRANSPORTE
29147575000202,SAAD BOMFIM SERVICO DE TRANSPORTE E SEGURANCA LTDA,GNE EXECUTIVE,FILIAL,ATIVA,7490104,4322301;4520003;4520006;4923002;5229001;5229002;5320202;7711000;8011101;8020001;8111700;9529102,RIO DE JANEIRO,RJ,"1000000,00",03,CNAE_CARGA_TRANSPORTE
