ibgeCode,municipio,uf,distancia_rodovia_federal_km,rodovia_federal_acesso,fonte
1200013,Acrelândia,AC,2.26,,
1200054,Assis Brasil,AC,50.51,,
1200104,Brasiléia,AC,10.45,,
1200138,Bujari,AC,8.44,,
1200179,Capixaba,AC,12.19,,
1200203,Cruzeiro do Sul,AC,27.32,,
1200252,Epitaciolândia,AC,6.61,,
1200302,Feijó,AC,82.09,,
1200328,Jordão,AC,149.2,,
1200344,Manoel Urbano,AC,81.29,,
1200351,Marechal Thaumaturgo,AC,150.62,,
1200336,Mâncio Lima,AC,35.63,,
1200385,Plácido de Castro,AC,19.37,,
1200807,Porto Acre,AC,34.45,,
1200393,Porto Walter,AC,83.79,,
1200401,Rio Branco,AC,46.36,,
1200427,Rodrigues Alves,AC,8.92,,
1200435,Santa Rosa do Purus,AC,107.13,,
1200500,Sena Madureira,AC,95.75,,
1200450,Senador Guiomard,AC,6.61,,
1200609,Tarauacá,AC,27.05,,
1200708,Xapuri,AC,18.23,,
2700201,Anadia,AL,8.69,,
2700300,Arapiraca,AL,24.2,,
2700409,Atalaia,AL,1.04,,
2700508,Barra de Santo Antônio,AL,26.1,,
2700607,Barra de São Miguel,AL,15.34,,
2700706,Batalha,AL,35.15,,
2700904,Belo Monte,AL,47.12,,
2700805,Belém,AL,2.32,,
2701001,Boca da Mata,AL,14.44,,
2701100,Branquinha,AL,0.91,,
2701209,Cacimbinhas,AL,5.0,,
2701308,Cajueiro,AL,8.57,,
2701357,Campestre,AL,9.39,,
2701407,Campo Alegre,AL,9.51,,
2701506,Campo Grande,AL,12.03,,
2701605,Canapi,AL,3.55,,
2701704,Capela,AL,14.75,,
2701803,Carneiros,AL,15.69,,
2701902,Chã Preta,AL,7.95,,
2702009,Coité do Nóia,AL,10.77,,
2702108,Colônia Leopoldina,AL,1.71,,
2702207,Coqueiro Seco,AL,4.7,,
2702306,Coruripe,AL,19.92,,
2702355,Craíbas,AL,26.75,,
2702405,Delmiro Gouveia,AL,4.75,,
2702504,Dois Riachos,AL,0.53,,
2702553,Estrela de Alagoas,AL,0.52,,
2702603,Feira Grande,AL,13.89,,
2702702,Feliz Deserto,AL,27.19,,
2702801,Flexeiras,AL,0.16,,
2702900,Girau do Ponciano,AL,34.87,,
2703007,Ibateguara,AL,1.17,,
2703106,Igaci,AL,12.97,,
2703205,Igreja Nova,AL,10.15,,
2703304,Inhapi,AL,4.36,,
2703403,Jacaré dos Homens,AL,29.27,,
2703502,Jacuípe,AL,19.73,,
2703601,Japaratinga,AL,41.55,,
2703700,Jaramataia,AL,27.82,,
2703759,Jequiá da Praia,AL,5.71,,
2703809,Joaquim Gomes,AL,2.99,,
2703908,Jundiá,AL,12.51,,
2704005,Junqueiro,AL,4.49,,
2704104,Lagoa da Canoa,AL,26.17,,
2704203,Limoeiro de Anadia,AL,15.53,,
2704302,Maceió,AL,8.77,,
2704401,Major Isidoro,AL,15.32,,
2704906,Mar Vermelho,AL,10.66,,
2704500,Maragogi,AL,40.85,,
2704609,Maravilha,AL,3.37,,
2704708,Marechal Deodoro,AL,8.59,,
2704807,Maribondo,AL,1.59,,
2705002,Mata Grande,AL,2.17,,
2705101,Matriz de Camaragibe,AL,14.41,,
2705200,Messias,AL,2.22,,
2705309,Minador do Negrão,AL,6.3,,
2705408,Monteirópolis,AL,25.15,,
2705507,Murici,AL,2.27,,
2705606,Novo Lino,AL,4.02,,
2705903,Olho d'Água Grande,AL,6.97,,
