ibgeCode,municipio,uf,hierarquia,distancia_polo_km
1100015,Alta Floresta D'Oeste,RO,5,166.09
1100023,Ariquemes,RO,3,172.44
1100031,Cabixi,RO,5,36.38
1100049,Cacoal,RO,2,404.31
1100056,Cerejeiras,RO,4,165.22
1100064,Colorado do Oeste,RO,4,122.98
1100072,Corumbiara,RO,5,35.85
1100080,Costa Marques,RO,5,312.8
1100098,Espigão D'Oeste,RO,5,58.89
1100106,Guajará-Mirim,RO,3,240.79
1100114,Jaru,RO,3,91.42
1100122,Ji-Paraná,RO,2,314.64
1100130,Machadinho D'Oeste,RO,4,133.32
1100148,Nova Brasilândia D'Oeste,RO,5,55.98
1100155,Ouro Preto do Oeste,RO,3,48.68
1100189,Pimenta Bueno,RO,3,85.2
1100205,Porto Velho,RO,2,1936.79
1100254,Presidente Médici,RO,5,79.2
1100262,Rio Crespo,RO,5,38.94
1100288,Rolim de Moura,RO,3,68.61
1100296,Santa Luzia D'Oeste,RO,5,33.85
1100304,Vilhena,RO,3,146.61
1100320,São Miguel do Guaporé,RO,5,185.32
1100338,Nova Mamoré,RO,5,141.17
1100346,Alvorada D'Oeste,RO,5,127.88
1100379,Alto Alegre dos Parecis,RO,5,96.29
1100403,Alto Paraíso,RO,5,58.62
1100452,Buritis,RO,5,107.95
1100502,Novo Horizonte do Oeste,RO,5,34.32
1100601,Cacaulândia,RO,5,42.53
1100700,Campo Novo de Rondônia,RO,5,109.16
1100809,Candeias do Jamari,RO,2,1851.74
1100908,Castanheiras,RO,5,31.51
1100924,Chupinguaia,RO,5,86.27
1100940,Cujubim,RO,5,96.92
1101005,Governador Jorge Teixeira,RO,5,67.86
1101104,Itapuã do Oeste,RO,5,138.41
1101203,Ministro Andreazza,RO,5,30.91
1101302,Mirante da Serra,RO,5,89.29
1101401,Monte Negro,RO,5,53.58
1101435,Nova União,RO,5,49.65
1101450,Parecis,RO,5,70.63
1101468,Pimenteiras do Oeste,RO,5,31.04
1101476,Primavera de Rondônia,RO,5,52.7
1101484,São Felipe D'Oeste,RO,5,38.26
